,loss_decoder,loss_sindy_x,loss_sindy_z,loss_sindy_regularization,validation_losses,batch_size,latent_dim,loss_weight_sindy_x,loss_weight_sindy_z,widths,dt
0,0.02721567,10.9377365,11.16883,0.24861965,0.04366339,32,1,0.0001,0.0001,[64],135.41622972488403
0,0.021223301,10.892268,6.6011477,0.53742176,0.03932418,32,1,0.0001,0.0001,"[64, 32]",162.01860690116882
0,0.10857569,10.953268,4.415195e-09,0.00053662166,0.1095663,32,1,0.0001,0.0001,"[64, 32, 16]",225.94709038734436
0,0.0024841193,10.965562,917.6315,0.0006035401,0.0029417148,32,3,0.0,0.0,[64],175.67213582992554
0,0.0015902397,10.950516,448.5888,0.0006035401,0.0041603167,32,3,0.0,0.0,"[64, 32]",200.85744333267212
0,0.004155657,10.953528,278.18118,0.0006035401,0.02406891,32,3,0.0,0.0,"[64, 32, 16]",226.08672404289246
0,0.0063956385,2.5074892,30.18603,1.9805448,0.010176608,32,3,0.0,0.0001,[64],173.24190258979797
0,0.010135765,4.1138697,5.87507,3.312082,0.028382594,32,3,0.0,0.0001,"[64, 32]",203.15095686912537
0,0.017932426,11.062376,7.682934,0.34159273,0.03575179,32,3,0.0,0.0001,"[64, 32, 16]",227.08081650733948
0,0.0018542774,1.4592026,291.7635,0.94150645,0.004476589,32,3,0.0001,0.0,[64],161.2563819885254
0,0.0022709842,0.9881056,249.03023,1.3815806,0.006475912,32,3,0.0001,0.0,"[64, 32]",211.98379468917847
0,0.0021926456,2.2181754,901.68317,1.1995888,0.030307438,32,3,0.0001,0.0,"[64, 32, 16]",252.5907347202301
0,0.0050257333,3.6465507,18.425188,2.0012517,0.013510165,32,3,0.0001,0.0001,[64],189.84658765792847
0,0.0033073789,1.328941,6.8399897,4.1428695,0.031424135,32,3,0.0001,0.0001,"[64, 32]",193.97596263885498
0,0.10857569,10.953268,5.695624e-09,0.0009088534,0.10958312,32,3,0.0001,0.0001,"[64, 32, 16]",228.54723262786865
0,0.002800103,11.0977955,632.0922,0.0023130907,0.0030049284,32,6,0.0,0.0,[64],285.66480016708374
0,0.0021969785,10.975039,1266.765,0.0023130907,0.008848242,32,6,0.0,0.0,"[64, 32]",393.9802529811859
0,0.004349464,10.931668,451.3189,0.0023130907,0.025909796,32,6,0.0,0.0,"[64, 32, 16]",376.07935762405396
0,0.0057825013,2.6258233,13.120061,0.55712694,0.006859782,32,6,0.0,0.0001,[64],394.81289196014404
0,0.003060442,3.6113734,13.73557,1.1708263,0.0071116877,32,6,0.0,0.0001,"[64, 32]",393.1844091415405
0,0.016495522,10.996727,1.7861453,0.27237538,0.036077514,32,6,0.0,0.0001,"[64, 32, 16]",408.0213027000427
0,0.001388134,2.6465237,461.01407,0.5663721,0.0057218033,32,6,0.0001,0.0,[64],402.02763175964355
0,0.0037582736,7.7519045,725.4666,0.63246363,0.005145359,32,6,0.0001,0.0,"[64, 32]",386.4867079257965
0,0.0035963573,4.1030507,48.585064,1.1757435,0.02634892,32,6,0.0001,0.0,"[64, 32, 16]",397.5589392185211
0,0.005355428,4.625706,10.510496,0.6008947,0.011175059,32,6,0.0001,0.0001,[64],353.76141691207886
0,0.0030970024,1.6022377,4.03603,1.0341516,0.028398035,32,6,0.0001,0.0001,"[64, 32]",403.8270823955536
0,0.019158702,10.915422,2.6586266,0.3644971,0.037362903,32,6,0.0001,0.0001,"[64, 32, 16]",390.02943325042725
